Reference area,Indicator,Subject,MEASURE,TIME_PERIOD,OBS_VALUE
Poland,Trust in government,Total,Percentage,2022,34.16071519
Poland,Average wages,Total,US dollars,2022,36896.55924
Poland,Employment rate,Women,Thousand persons,2022,7634.475
Poland,Gender wage gap,Employees,Percentage,2002,11.31595541
Poland,Gross domestic product (GDP),Total,Million US dollars,2002,451281.404
Poland,GDP per hour worked,Total,2015=100,2002,69.585842
Iceland,Purchasing power parities (PPP),Total,National currency units/US dollar,2015,141.974926
India,Purchasing power parities (PPP),Total,National currency units/US dollar,2015,19.235003
India,Exchange rates,Total,National currency units/US dollar,2015,64.151944
Poland,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2000,27.979
Ireland,Exchange rates,Total,National currency units/US dollar,2015,0.901296
Poland,GDP per hour worked,Total,US dollars,2000,22.242809
Poland,Gross domestic product (GDP),Total,US dollars/capita,2007,16808.66099
Poland,Employment rate,Women,% of working age population,2007,50.575
Ireland,Purchasing power parities (PPP),Total,National currency units/US dollar,2015,0.809686
Israel,Exchange rates,Total,National currency units/US dollar,2015,3.886833
Poland,Employment rate,Men,% of working age population,2007,63.65
Poland,GDP per hour worked,Total,US dollars,2006,27.469543
Poland,Employment rate,Total,% of working age population,2006,54.45
Poland,Gross domestic product (GDP),Total,US dollars/capita,2006,15155.92692
Poland,Employment rate,Women,% of working age population,2006,48.2
Poland,Trust in government,Total,Percentage,2006,6.876873765
Poland,Gender wage gap,Employees,Percentage,2006,11.44042048
Poland,Average wages,Total,US dollars,2006,24848
Poland,Employment rate,Men,% of working age population,2005,58.85
Poland,Air pollution exposure,Exposure to PM2.5,% of population,2005,99.995
Poland,GDP per hour worked,Total,US dollars,2005,26.72517
Poland,Employment rate,Total,% of working age population,2005,52.775
Poland,GDP per hour worked,Total,2015=100,2005,76.620798
Poland,Employment rate,Men,Thousand persons,2005,7809.075
Poland,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2005,26.998
Israel,Purchasing power parities (PPP),Total,National currency units/US dollar,2015,3.923925
Italy,Exchange rates,Total,National currency units/US dollar,2015,0.901296
Poland,Employment rate,Total,Thousand persons,2008,15799.42
Poland,GDP per hour worked,Total,US dollars,2008,28.402336
Poland,Average wages,Total,US dollars,2004,24784.94194
Poland,Gender wage gap,Self-employed,Percentage,2004,53.69146347
Poland,Gross domestic product (GDP),Total,Million US dollars,2004,509887.661
Poland,GDP per hour worked,Total,2015=100,2004,75.422037
Poland,Air pollution exposure,Exposure to PM2.5,% of population,2010,99.995
Poland,Gender wage gap,Self-employed,Percentage,2010,61.63191986
Poland,Gross domestic product (GDP),Total,Million US dollars,2010,794607.804
Poland,Employment rate,Women,Thousand persons,2010,6907.2
Poland,Employment rate,Men,Thousand persons,2010,8565.575
Italy,Purchasing power parities (PPP),Total,National currency units/US dollar,2015,0.738694
Poland,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2010,27.365
Japan,Exchange rates,Total,National currency units/US dollar,2015,121.044026
Poland,Employment rate,Men,% of working age population,2021,76.775
Poland,Employment rate,Men,Thousand persons,2021,9117.45
Poland,GDP per hour worked,Total,US dollars,2021,41.603775
Poland,Employment rate,Total,% of working age population,2021,70.3
Poland,Trust in government,Total,Percentage,2021,25.92516514
Poland,Gender wage gap,Self-employed,Percentage,2009,61.63500977
Poland,Gross domestic product (GDP),Total,Million US dollars,2009,734012.746
Poland,Gross domestic product (GDP),Total,US dollars/capita,2009,19073.68827
Japan,Purchasing power parities (PPP),Total,National currency units/US dollar,2015,103.469437
Poland,Trust in government,Total,Percentage,2012,26.86287528
Poland,Average wages,Total,US dollars,2012,27972
Poland,Employment rate,Men,% of working age population,2012,64.15
Poland,Air pollution exposure,Exposure to PM2.5,% of population,2012,99.995
Poland,Gender wage gap,Self-employed,Percentage,2012,61.23438263
Poland,Employment rate,Women,Thousand persons,2012,6939.575
Poland,Gross domestic product (GDP),Total,US dollars/capita,2015,26495.81492
Poland,Employment rate,Women,% of working age population,2015,55.625
Korea,Exchange rates,Total,National currency units/US dollar,2015,1130.9525
Poland,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2015,22.865
Korea,Purchasing power parities (PPP),Total,National currency units/US dollar,2015,857.483387
Poland,Gross domestic product (GDP),Total,Million US dollars,2015,1018896.563
Poland,Employment rate,Men,% of working age population,2015,67.575
Poland,GDP per hour worked,Total,2015=100,2015,100
Poland,Employment rate,Men,Thousand persons,2011,8648.025
Poland,Trust in government,Total,Percentage,2011,27.23761715
Poland,Average wages,Total,US dollars,2011,28247
Poland,Employment rate,Total,Thousand persons,2011,15562
Poland,Air pollution exposure,Exposure to PM2.5,% of population,2011,99.995
Poland,Trust in government,Total,Percentage,2019,49.79860284
Poland,Average wages,Total,US dollars,2019,36667
Poland,Employment rate,Women,Thousand persons,2019,7346.15
Poland,Employment rate,Total,Thousand persons,2019,16460.53
Poland,Air pollution exposure,Exposure to PM2.5,% of population,2019,99.988
Poland,Employment rate,Total,Thousand persons,2017,16422.2
Poland,Air pollution exposure,Exposure to PM2.5,% of population,2017,99.985
Poland,GDP per hour worked,Total,2015=100,2017,106.982369
Poland,Gross domestic product (GDP),Total,US dollars/capita,2017,29609.44637
Poland,Employment rate,Women,% of working age population,2017,58.9
Latvia,Purchasing power parities (PPP),Total,National currency units/US dollar,2015,0.497568
Poland,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2017,22.89
Poland,Air pollution exposure,Exposure to PM2.5,% of population,2018,99.989
Poland,Gender wage gap,Employees,Percentage,2018,11.49790995
Latvia,Exchange rates,Total,National currency units/US dollar,2015,0.901296
Poland,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2018,22.865
Lithuania,Exchange rates,Total,National currency units/US dollar,2015,0.901296
Poland,Gross domestic product (GDP),Total,Million US dollars,2018,1216240.494
Poland,Employment rate,Men,% of working age population,2013,64.675
Poland,GDP per hour worked,Total,US dollars,2013,33.466584
Poland,Employment rate,Total,% of working age population,2013,58.425
Poland,Employment rate,Men,Thousand persons,2013,8641.15
Poland,Trust in government,Total,Percentage,2013,16.35881353
Poland,Trust in government,Total,Percentage,2020,27.31166103
Poland,Average wages,Total,US dollars,2020,37325
Poland,Employment rate,Men,% of working age population,2020,74.725
Lithuania,Purchasing power parities (PPP),Total,National currency units/US dollar,2015,0.445856
Poland,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,2016,21.916
Luxembourg,Exchange rates,Total,National currency units/US dollar,2015,0.901296
Poland,Gross domestic product (GDP),Total,Million US dollars,2016,1069459.06
Poland,Gender wage gap,Employees,Percentage,2016,9.417880936
Poland,Employment rate,Total,Thousand persons,2016,16196.1
Poland,GDP per hour worked,Total,US dollars,2016,35.57778
Poland,Employment rate,Total,% of working age population,2016,63.45
Poland,GDP per hour worked,Total,2015=100,2016,102.001142
Poland,GDP per hour worked,Total,US dollars,2014,34.050522
Poland,Employment rate,Total,% of working age population,2014,60.2
Poland,GDP per hour worked,Total,2015=100,2014,97.622509
Poland,Gross domestic product (GDP),Total,US dollars/capita,2014,25005.65569
Poland,Employment rate,Women,% of working age population,2014,54
Poland,Trust in government,Total,Percentage,2014,25.25228452
Poland,Average wages,Total,US dollars,2014,28919
Poland,Gross domestic product (GDP),Total,Million US dollars,1994,271454.13
Poland,Gross domestic product (GDP),Total,US dollars/capita,2022,45371.15253
Poland,Employment rate,Women,Thousand persons,2002,6252.85
Poland,Employment rate,Men,Thousand persons,2002,7528.675
Poland,Employment rate,Total,Thousand persons,2009,15868
Poland,Employment rate,Women,Thousand persons,2009,7146.45
Poland,Employment rate,Women,% of working age population,2009,50.95
Poland,Employment rate,Men,Thousand persons,2003,7431.75
Poland,Employment rate,Total,Thousand persons,2003,13616.22
Poland,Employment rate,Total,Thousand persons,2000,14525.53
Poland,Employment rate,Total,% of working age population,2000,54.975
Poland,Employment rate,Women,Thousand persons,2020,7329.3
Poland,Employment rate,Men,Thousand persons,2020,9112.15
Poland,Employment rate,Total,% of working age population,2008,59.225
Poland,Employment rate,Men,% of working age population,2004,57.175
Poland,Employment rate,Women,Thousand persons,2004,6228.975
Portugal,Employment rate,Women,Thousand persons,1994,1971.7
Luxembourg,Purchasing power parities (PPP),Total,National currency units/US dollar,2015,0.881261
Portugal,Employment rate,Men,Thousand persons,1994,2437.2
Portugal,Average wages,Total,US dollars,2022,31921.65999
Malta,Exchange rates,Total,National currency units/US dollar,2015,0.901296
Portugal,Employment rate,Women,% of working age population,2022,69.025
Malta,Purchasing power parities (PPP),Total,National currency units/US dollar,2015,0.599699
Portugal,Gross domestic product (GDP),Total,US dollars/capita,1995,14396.79654
Portugal,Employment rate,Men,Thousand persons,1995,2414.7
Portugal,Air pollution exposure,Exposure to PM2.5,Micrograms per cubic metre,1995,10.894
Portugal,Average wages,Total,US dollars,1998,29544.2884
Portugal,Gross domestic product (GDP),Total,Million US dollars,1998,169542.593
Mexico,Exchange rates,Total,National currency units/US dollar,2015,15.848267
Portugal,Employment rate,Women,% of working age population,1998,58.225
Portugal,Employment rate,Total,% of working age population,1998,66.825
Portugal,Employment rate,Women,% of working age population,1999,59.5
Portugal,Employment rate,Total,% of working age population,1999,67.525
Portugal,GDP per hour worked,Total,2015=100,1999,85.19183
Portugal,Employment rate,Men,% of working age population,1999,75.825
Portugal,Employment rate,Total,Thousand persons,1999,4924.8
Portugal,Average wages,Total,US dollars,1997,29179.21225
Portugal,Gross domestic product (GDP),Total,Million US dollars,1997,159578.146
Portugal,Employment rate,Men,% of working age population,2000,76.55
Portugal,Employment rate,Total,Thousand persons,2000,5039.975
Portugal,GDP per hour worked,Total,US dollars,2000,33.384117
Mexico,Purchasing power parities (PPP),Total,National currency units/US dollar,2015,8.327595
Portugal,Gross domestic product (GDP),Total,US dollars/capita,2003,20852.28364
Portugal,Employment rate,Men,Thousand persons,2003,2762.5
Portugal,Employment rate,Women,Thousand persons,2002,2329.35
Morocco,Purchasing power parities (PPP),Total,National currency units/US dollar,2015,3.996445
Portugal,Gross domestic product (GDP),Total,US dollars/capita,2002,20356.72156
Portugal,Employment rate,Men,Thousand persons,2002,2813.65
Portugal,Average wages,Total,US dollars,2006,30215
Portugal,Gross domestic product (GDP),Total,Million US dollars,2006,259717.065
Morocco,Exchange rates,Total,National currency units/US dollar,2015,9.764348
Portugal,Employment rate,Women,% of working age population,2006,61.825
Portugal,Employment rate,Total,% of working age population,2006,67.625
Portugal,GDP per hour worked,Total,US dollars,2001,33.739824
Portugal,Employment rate,Women,Thousand persons,2001,2311.95
Portugal,Air pollution exposure,Exposure to PM2.5,% of population,2005,61.847
Portugal,Average wages,Total,US dollars,2005,30885.78789
Portugal,Gross domestic product (GDP),Total,Million US dollars,2005,238691.186
Portugal,Trust in government,Total,Percentage,2021,57.6186412
Portugal,Average wages,Total,US dollars,2021,32089.37798
Portugal,Gross domestic product (GDP),Total,Million US dollars,2021,401863.609
Portugal,Employment rate,Women,% of working age population,2007,61.825
Portugal,Employment rate,Total,% of working age population,2007,67.6
Portugal,GDP per hour worked,Total,2015=100,2007,94.119584
Portugal,Employment rate,Men,% of working age population,2007,73.65
Portugal,GDP per hour worked,Total,US dollars,2009,36.569424
Portugal,Trust in government,Total,Percentage,2009,28.17449674
Portugal,Gender wage gap,Self-employed,Percentage,2009,58.39020538
Portugal,Employment rate,Women,Thousand persons,2009,2356.825
Netherlands,Exchange rates,Total,National currency units/US dollar,2015,0.901296
Portugal,Gross domestic product (GDP),Total,US dollars/capita,2010,27257.2324
Portugal,Employment rate,Total,Thousand persons,2012,4545.5
Portugal,GDP per hour worked,Total,US dollars,2008,36.72766
Netherlands,Purchasing power parities (PPP),Total,National currency units/US dollar,2015,0.809978
Portugal,Gross domestic product (GDP),Total,US dollars/capita,2011,26769.42769
Portugal,Employment rate,Men,Thousand persons,2011,2486.375
Portugal,Employment rate,Total,Thousand persons,2011,4738.175
Portugal,Gender wage gap,Employees,Percentage,2018,11.66500499
New Zealand,Exchange rates,Total,National currency units/US dollar,2015,1.433975
Portugal,Gross domestic product (GDP),Total,US dollars/capita,2018,34928.61899
Portugal,Employment rate,Men,Thousand persons,2018,2485.55
New Zealand,Purchasing power parities (PPP),Total,National currency units/US dollar,2015,1.478014
Portugal,Gross domestic product (GDP),Total,US dollars/capita,2019,37845.05645
Portugal,Employment rate,Men,Thousand persons,2019,2503.425
Portugal,GDP per hour worked,Total,2015=100,2019,102.310317
Portugal,Employment rate,Total,Thousand persons,2019,4912.1
Portugal,Trust in government,Total,Percentage,2013,17.92133975
Portugal,Average wages,Total,US dollars,2013,30056
Portugal,Gross domestic product (GDP),Total,Million US dollars,2013,292135.199
Portugal,GDP per hour worked,Total,US dollars,2017,39.111943
Portugal,Employment rate,Women,Thousand persons,2017,2314.075
Portugal,Air pollution exposure,Exposure to PM2.5,% of population,2017,17.259
